Security Code,Security Id,Security Name
500233,KAJARIACER,KAJARIA CERAMICS LTD.
500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.
500235,KSL,KALYANI STEELS LTD.
500236,KANELIND,Kanel Industries Limited
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.
500239,KGDENIM,KG DENIM LTD.
500240,KINETICENG,KINETIC ENGINEERING LTD.
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$
500243,KIRLOSIND,Kirloskar Industries Ltd
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.
500248,MAVIIND,MAVI INDUSTRIES LTD.
500249,KSB,KSB Ltd
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.
500251,TRENT,TRENT LTD.
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.
500254,UTTAMVALUE,UTTAM VALUE STEELS LTD.
500257,LUPIN,LUPIN LTD.
500259,LYKALABS,LYKA LABS LTD.
500260,RAMCOCEM,The Ramco Cements Limited
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.
500267,MAJESAUT,MAJESTIC AUTO LTD.-$
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.
500271,MFSL,Max Financial Services Ltd
500274,MESPHAR-B,MESCO PHARMACEUTICALS LTD.
500277,MIDINDIA,MID INDIA INDUSTRIES LTD.
500279,MIRCELECTR,MIRC ELECTRONICS LTD.
500280,CENTENKA,CENTURY ENKA LTD.
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.
500285,SPICEJET,SPICEJET LTD.
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.
500290,MRF,MRF LTD.
500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.
500294,NCC,NCC Limited
500295,VEDL,Vedanta Limited
500296,NAHARSPING,NAHAR SPINNING MILLS LTD.
500298,NATPEROX,NATIONAL PEROXIDE LTD.
500300,GRASIM,GRASIM INDUSTRIES LTD.
500302,PEL,PIRAMAL ENTERPRISES LTD.
500304,NIITLTD,NIIT LTD.
500306,JAYKAY,JAYKAY ENTERPRISES LTD.
500307,NIRLON,NIRLON LTD.
500312,ONGC,OIL AND NATURAL GAS CORPORATION LTD.
500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.
500314,ORIENTHOT,ORIENTAL HOTELS LTD.
500317,OSWALAGRO,OSWAL AGRO MILLS LTD.
500319,INDSUCR,INDIAN SUCROSE LTD.
500325,RELIANCE,RELIANCE INDUSTRIES LTD.
500327,PILITA,Pil Italica Lifestyle Ltd
500329,PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.
500330,RAYMOND,RAYMOND LTD.
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.
500333,PIXTRANS,PIX TRANSMISSIONS LTD.
500335,BIRLACORPN,BIRLA CORPORATION LTD.
500336,SURYAROSNI,SURYA ROSHNI LTD.
500337,PRIMESECU,PRIME SECURITIES LTD.
500338,PRSMJOHNSN,Prism Johnson Ltd
500339,RAIN,Rain Industries Ltd
500343,AMJLAND,AMJ Land Holdings Ltd
500346,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$
500350,RSWM,RSWM LTD.
500354,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.
500355,RALLIS,RALLIS INDIA LTD.
500356,RAMANEWS,SHREE RAMA NEWSPRINT LTD.
500357,RAMAPPR-B,RAMA PAPER MILLS LTD.
500358,RAMAPETRO,RAMA PETROCHEMICALS LTD.
500360,RAPICUT,RAPICUT CARBIDES LTD.
500365,WELSPLSOL,Welspun Specialty Solutions Ltd
500366,ROLTA,ROLTA INDIA LTD.
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.
500368,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.
500370,SALORAINTL,SALORA INTERNATIONAL LTD.
500378,JINDALSAW,JINDAL SAW LTD.
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.
500387,SHREECEM,SHREE CEMENT LTD.
500388,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.
500399,STEELCO,STEELCO GUJARAT LTD.
500400,TATAPOWER,TATA POWER CO.LTD.
500402,SPMLINFRA,SPML Infra Limited
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.
500404,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.
500405,SUPPETRO*,SUPREME PETROCHEM LTD.
500407,SWARAJENG,SWARAJ ENGINES LTD.
500408,TATAELXSI,TATA ELXSI LTD.
500410,ACC,ACC LTD.
500411,THERMAX,THERMAX LTD.
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.
500414,TIMEX,TIMEX GROUP INDIA LTD.-$
500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.
500422,TRANSCHEM,TRANSCHEM LTD.-$
500425,AMBUJACEM,AMBUJA CEMENTS LTD.
500426,UTLINDS,UTL Industries Limited
500429,UNIPHOS,UNIPHOS ENTERPRISES LTD.
500439,VHL,VARDHMAN HOLDINGS LTD.
500440,HINDALCO,HINDALCO INDUSTRIES LTD.
500444,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.
500449,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.
500450,MPILCORPL,MPIL CORPORATION LTD.
500456,PASUPTAC,PASUPATI ACRYLON LTD.
500458,KORE,Kore Foods Ltd
500459,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
500460,MUKANDLTD,MUKAND LTD.
500463,AGCNET,AGC Networks Limited
500464,UCALFUEL,UCAL FUEL SYSTEMS LTD.
500467,HARRMALAYA,HARRISONS MALAYALAM LTD.
500469,FEDERALBNK,FEDERAL BANK LTD.
500470,TATASTEEL,TATA STEEL LTD.
500472,SKFINDIA,SKF India Ltd
500477,ASHOKLEY,ASHOK LEYLAND LTD.
500480,CUMMINSIND,CUMMINS INDIA LTD.
500483,TATACOMM,TATA COMMUNICATIONS LTD.
500488,ABBOTINDIA,ABBOTT INDIA LTD.
